run,freq_Hz,period_s,idd_A,,,,
81,5.97E+06,1.67E-07,0.000128285,,,,
82,5.86E+06,1.71E-07,0.000130986,,,,
83,4.91E+06,2.04E-07,0.000125729,,,,
84,5.90E+06,1.70E-07,0.000130533,,,,
85,5.97E+06,1.67E-07,0.000131076,,,,
86,4.14E+06,2.42E-07,0.000123191,,,,
87,5.79E+06,1.73E-07,0.000130458,,,,
88,6.53E+06,1.53E-07,0.000133948,,,,
89,5.60E+06,1.79E-07,0.000132462,,,,
90,5.84E+06,1.71E-07,0.000125428,,,,
91,6.19E+06,1.62E-07,0.000124534,,,,
92,6.01E+06,1.66E-07,0.000133011,,,,
93,6.45E+06,1.55E-07,0.00012941,,,,
94,6.29E+06,1.59E-07,0.000127737,,,,
95,6.93E+06,1.44E-07,0.000129355,,,,
96,6.51E+06,1.54E-07,0.000132285,,,,
97,6.99E+06,1.43E-07,0.00012837,,,,
98,4.77E+06,2.10E-07,0.000129979,,,,
99,6.24E+06,1.60E-07,0.000134277,,,,
100,5.88E+06,1.70E-07,0.000133793,,,,
101,6.05E+06,1.65E-07,0.000135642,,,,
102,5.30E+06,1.89E-07,0.0001324,,,,
103,5.57E+06,1.80E-07,0.000135524,,,,
104,6.11E+06,1.64E-07,0.000126986,,,,
105,5.92E+06,1.69E-07,0.000123698,,,,
106,5.76E+06,1.74E-07,0.000132942,,,,
107,6.23E+06,1.60E-07,0.000140174,,,,
108,6.03E+06,1.66E-07,0.000128774,,,,
109,6.06E+06,1.65E-07,0.000128252,,,,
110,4.83E+06,2.07E-07,0.000125552,,,,
111,,,,,0,0,0
112,6.04E+06,1.66E-07,0.000128308,,,,
113,6.01E+06,1.67E-07,0.000129966,,,,
114,5.08E+06,1.97E-07,0.000127483,,,,
115,6.05E+06,1.65E-07,0.000126042,,,,
116,5.25E+06,1.91E-07,0.000128685,,,,
117,6.58E+06,1.52E-07,0.000127026,,,,
118,5.90E+06,1.70E-07,0.000128562,,,,
119,6.01E+06,1.66E-07,0.000130771,,,,
120,6.40E+06,1.56E-07,0.000130835,,,,
121,6.34E+06,1.58E-07,0.000126549,,,,
122,5.99E+06,1.67E-07,0.000135458,,,,
123,6.11E+06,1.64E-07,0.000126433,,,,
124,5.99E+06,1.67E-07,0.000130559,,,,
